posicao,momento
1.218,119.99769130702343
1.219,119.65001625396317
1.22,119.30234120090302
1.221,118.95466614784276
1.222,118.60699109478263
1.223,118.25931604172239
1.224,117.91164098866223
1.225,117.56396593560197
1.226,117.21629088254181
1.227,116.86861582948158
1.228,116.52094077642143
1.229,116.17326572336117
1.23,115.82559067030101
1.231,115.4779156172408
1.232,115.13024056418062
1.233,114.78256551112037
1.234,114.43489045806021
1.235,114.087215405
1.236,113.73954035193981
1.237,113.39186529887957
1.238,113.04419024581942
1.239,112.69651519275918
1.24,112.348840139699
1.241,112.00116508663876
1.242,111.65349003357862
1.243,111.30581498051836
1.244,110.9581399274582
1.245,110.61046487439796
1.246,110.26278982133782
1.247,109.91511476827758
1.248,109.56743971521742
1.249,109.21976466215716
1.25,108.872089609097
1.251,108.52441455603685
1.252,108.17673950297662
1.253,107.82906444991644
1.254,107.4813893968562
1.255,107.13371434379604
1.256,106.78603929073583
1.257,106.43836423767566
1.258,106.0906891846154
1.259,105.74301413155524
1.26,105.395339078495
1.261,105.04766402543484
1.262,104.6999889723746
1.263,104.35231391931444
1.264,104.00463886625421
1.265,103.65696381319405
1.266,103.3092887601338
1.267,102.96161370707364
1.268,102.6139386540134
1.269,102.26626360095325
1.27,101.91858854789301
1.271,101.57091349483285
1.272,101.22323844177261
1.273,100.87556338871244
1.274,100.5278883356522
1.275,100.18021328259204
1.276,99.8325382295318
1.277,99.48486317647163
1.278,99.13718812341139
1.279,98.78951307035125
1.28,98.48762628310222
1.281,98.19718656230604
1.282,97.9067468415098
1.283,97.61630712071363
1.284,97.3258673999174
1.285,97.03542767912124
1.286,96.744987958325
1.287,96.45454823752883
1.288,96.16410851673261
1.289,95.87366879593644
1.29,95.58322907514021
1.291,95.29278935434402
1.292,95.0023496335478
1.293,94.71190991275162
1.294,94.42147019195541
1.295,94.13103047115925
1.296,93.84059075036299
1.297,93.55015102956683
1.298,93.2597113087706
1.299,92.96927158797445
1.3,92.67883186717819
1.301,92.38839214638203
1.302,92.09795242558582
1.303,91.80751270478964
1.304,91.5170729839934
1.305,91.22663326319723
1.306,90.936193542401
1.307,90.64575382160483
1.308,90.3553141008086
1.309,90.06487438001243
1.31,89.7744346592162
1.311,89.48399493842004
1.312,89.1935552176238
1.313,88.90311549682762
1.314,88.6126757760314
1.315,88.32223605523524
1.316,88.03179633443898
1.317,87.74135661364284
1.318,87.4509168928466
1.319,87.16047717205043
1.32,86.87003745125419
1.321,86.57959773045802
1.322,86.2891580096618
1.323,85.99871828886563
1.324,85.70827856806939
1.325,85.41783884727323
1.326,85.12739912647699
1.327,84.83695940568083
1.328,84.54651968488459
1.329,84.25607996408843
1.33,83.9656402432922
1.331,83.67520052249604
1.332,83.38476080169978
1.333,83.09432108090363
1.334,82.80388136010738
1.335,82.51344163931122
1.336,82.223001918515
1.337,81.93256219771882
1.338,81.6421224769226
1.339,81.35168275612642
1.34,81.0612430353302
1.341,80.77080331453402
1.342,80.48036359373779
1.343,80.18992387294163
1.344,79.89948415214539
1.345,79.60904443134922
1.346,79.31860471055299
1.347,79.02816498975683
1.348,78.73772526896059
1.349,78.44728554816442
1.35,78.15684582736819
1.351,77.86640610657203
1.352,77.57596638577579
1.353,77.28552666497961
1.354,76.99508694418338
1.355,76.70464722338723
1.356,76.41420750259098
1.357,76.12376778179481
1.358,75.83332806099858
1.359,75.54288834020242
1.36,75.2524486194062
1.361,74.96200889861001
1.362,74.67156917781378
1.363,74.38112945701762
1.364,74.09068973622139
1.365,73.8002500154252
1.366,73.50981029462898
1.367,73.21937057383282
1.368,72.92893085303659
1.369,72.63849113224043
1.37,72.34805141144419
1.371,72.05761169064802
1.372,71.76717196985179
1.373,71.47673224905562
1.374,71.18629252825939
1.375,70.89585280746321
1.376,70.60541308666706
1.377,70.31497336587081
1.378,70.02453364507464
1.379,69.73409392427843
1.38,69.4822457722085
1.381,69.24693686387839
1.382,69.0116279555483
1.383,68.7763190472182
1.384,68.54101013888811
1.385,68.30570123055799
1.386,68.07039232222792
1.387,67.83508341389778
1.388,67.59977450556771
1.389,67.3644655972376
1.39,67.12915668890751
1.391,66.89384778057737
1.392,66.6585388722473
1.393,66.42322996391718
1.394,66.18792105558711
1.395,65.95261214725699
1.396,65.71730323892692
1.397,65.48199433059678
1.398,65.24668542226671
1.399,65.01137651393658
1.4,64.77606760560651
1.401,64.54075869727639
1.402,64.30544978894632
1.403,64.07014088061618
1.404,63.83483197228611
1.405,63.599523063955985
1.406,63.36421415562591
1.407,63.12890524729578
1.408,62.89359633896571
1.409,62.65828743063558
1.41,62.422978522305506
1.411,62.18766961397538
1.412,61.952360705645305
1.413,61.71705179731518
1.414,61.48174288898511
1.415,61.24643398065498
1.416,61.0111250723249
1.417,60.77581616399478
1.418,60.54050725566471
1.419,60.30519834733458
1.42,60.06988943900451
1.421,59.83458053067438
1.422,59.59927162234431
1.423,59.363962714014185
1.424,59.12865380568412
1.425,58.893344897353984
1.426,58.6580359890239
1.427,58.42272708069378
1.428,58.187418172363714
1.429,57.95210926403358
1.43,57.716800355703505
1.431,57.48149144737337
1.432,57.2461825390433
1.433,57.01087363071318
1.434,56.77556472238311
1.435,56.540255814052976
1.436,56.3049469057229
1.437,56.06963799739278
1.438,55.834329089062706
1.439,55.59902018073257
1.44,55.363711272402504
1.441,55.12840236407237
1.442,54.8930934557423
1.443,54.65778454741217
1.444,54.4224756390821
1.445,54.187166730751976
1.446,53.95185782242191
1.447,53.716548914091774
1.448,53.4812400057617
1.449,53.24593109743157
1.45,53.010622189101504
1.451,52.77531328077138
1.452,52.5400043724413
1.453,52.30469546411118
1.454,52.0693865557811
1.455,51.834077647450975
1.456,51.5987687391209
1.457,51.363459830790774
1.458,51.1281509224607
1.459,50.89284201413058
1.46,50.6575331058005
1.461,50.42222419747037
1.462,50.1869152891403
1.463,49.951606380810176
1.464,49.7162974724801
1.465,49.480988564149975
1.466,49.2456796558199
1.467,49.01037074748977
1.468,48.7750618391597
1.469,48.53975293082957
1.47,48.304444022499496
1.471,48.06913511416938
1.472,47.833826205839294
1.473,47.598517297509176
1.474,47.36320838917909
1.475,47.127899480848974
1.476,46.8925905725189
1.477,46.65728166418877
1.478,46.421972755858704
1.479,46.186663847528564
1.48,45.982930496892564
1.481,45.80024751805254
1.482,45.61756453921255
1.483,45.43488156037254
1.484,45.252198581532554
1.485,45.06951560269253
1.486,44.88683262385256
1.487,44.704149645012535
1.488,44.52146666617256
1.489,44.33878368733254
1.49,44.15610070849256
1.491,43.97341772965254
1.492,43.79073475081256
1.493,43.608051771972534
1.494,43.425368793132556
1.495,43.24268581429253
1.496,43.06000283545256
1.497,42.87731985661253
1.498,42.69463687777255
1.499,42.51195389893253
1.5,42.329270920092554
1.501,42.14658794125258
1.502,41.963904962412556
1.503,41.78122198357258
1.504,41.59853900473256
1.505,41.41585602589258
1.506,41.23317304705255
1.507,41.050490068212575
1.508,40.867807089372555
1.509,40.68512411053258
1.51,40.50244113169255
1.511,40.31975815285257
1.512,40.13707517401255
1.513,39.954392195172574
1.514,39.77170921633255
1.515,39.589026237492575
1.516,39.406343258652555
1.517,39.22366027981258
1.518,39.04097730097255
1.519,38.85829432213257
1.52,38.67561134329255
1.521,38.49292836445257
1.522,38.310245385612546
1.523,38.12756240677257
